Vivado Simulator 2017.2
Time resolution is 1 ps
                   0, RESET = 0, CLK = 1, direction[1] = x, direction[0] = x, rotationDuration[1] = x, rotationDuration[0] = x
               10000, RESET = 1, CLK = 0, direction[1] = x, direction[0] = x, rotationDuration[1] = x, rotationDuration[0] = x
               20000, RESET = 1, CLK = 1, direction[1] = 1, direction[0] = 1, rotationDuration[1] = 0, rotationDuration[0] = 1
               30000, RESET = 0, CLK = 0, direction[1] = 1, direction[0] = 1, rotationDuration[1] = 0, rotationDuration[0] = 1
               40000, RESET = 0, CLK = 1, direction[1] = 0, direction[0] = 1, rotationDuration[1] = 1, rotationDuration[0] = 1
               50000, RESET = 0, CLK = 0, direction[1] = 0, direction[0] = 1, rotationDuration[1] = 1, rotationDuration[0] = 1
               60000, RESET = 0, CLK = 1, direction[1] = 1, direction[0] = 1, rotationDuration[1] = 0, rotationDuration[0] = 0
               70000, RESET = 0, CLK = 0, direction[1] = 1, direction[0] = 1, rotationDuration[1] = 0, rotationDuration[0] = 0
               80000, RESET = 0, CLK = 1, direction[1] = 0, direction[0] = 0, rotationDuration[1] = 1, rotationDuration[0] = 1
               90000, RESET = 0, CLK = 0, direction[1] = 0, direction[0] = 0, rotationDuration[1] = 1, rotationDuration[0] = 1
              100000, RESET = 0, CLK = 1, direction[1] = 1, direction[0] = 1, rotationDuration[1] = 1, rotationDuration[0] = 0
              110000, RESET = 0, CLK = 0, direction[1] = 1, direction[0] = 1, rotationDuration[1] = 1, rotationDuration[0] = 0
              120000, RESET = 0, CLK = 1, direction[1] = 1, direction[0] = 0, rotationDuration[1] = 0, rotationDuration[0] = 1
              130000, RESET = 0, CLK = 0, direction[1] = 1, direction[0] = 0, rotationDuration[1] = 0, rotationDuration[0] = 1
              140000, RESET = 0, CLK = 1, direction[1] = 0, direction[0] = 1, rotationDuration[1] = 0, rotationDuration[0] = 1
              150000, RESET = 0, CLK = 0, direction[1] = 0, direction[0] = 1, rotationDuration[1] = 0, rotationDuration[0] = 1
              160000, RESET = 0, CLK = 1, direction[1] = 0, direction[0] = 1, rotationDuration[1] = 1, rotationDuration[0] = 0
              170000, RESET = 0, CLK = 0, direction[1] = 0, direction[0] = 1, rotationDuration[1] = 1, rotationDuration[0] = 0
              180000, RESET = 0, CLK = 1, direction[1] = 1, direction[0] = 0, rotationDuration[1] = 0, rotationDuration[0] = 0
              190000, RESET = 0, CLK = 0, direction[1] = 1, direction[0] = 0, rotationDuration[1] = 0, rotationDuration[0] = 0
              200000, RESET = 0, CLK = 1, direction[1] = 0, direction[0] = 0, rotationDuration[1] = 1, rotationDuration[0] = 1
              210000, RESET = 0, CLK = 0, direction[1] = 0, direction[0] = 0, rotationDuration[1] = 1, rotationDuration[0] = 1
              220000, RESET = 0, CLK = 1, direction[1] = 1, direction[0] = 1, rotationDuration[1] = 1, rotationDuration[0] = 0
              230000, RESET = 0, CLK = 0, direction[1] = 1, direction[0] = 1, rotationDuration[1] = 1, rotationDuration[0] = 0
              240000, RESET = 0, CLK = 1, direction[1] = 1, direction[0] = 0, rotationDuration[1] = 0, rotationDuration[0] = 1
              250000, RESET = 0, CLK = 0, direction[1] = 1, direction[0] = 0, rotationDuration[1] = 0, rotationDuration[0] = 1
              260000, RESET = 0, CLK = 1, direction[1] = 0, direction[0] = 1, rotationDuration[1] = 1, rotationDuration[0] = 1
              270000, RESET = 0, CLK = 0, direction[1] = 0, direction[0] = 1, rotationDuration[1] = 1, rotationDuration[0] = 1
              280000, RESET = 0, CLK = 1, direction[1] = 1, direction[0] = 1, rotationDuration[1] = 1, rotationDuration[0] = 0
              290000, RESET = 0, CLK = 0, direction[1] = 1, direction[0] = 1, rotationDuration[1] = 1, rotationDuration[0] = 0
              300000, RESET = 0, CLK = 1, direction[1] = 1, direction[0] = 0, rotationDuration[1] = 0, rotationDuration[0] = 1
              310000, RESET = 0, CLK = 0, direction[1] = 1, direction[0] = 0, rotationDuration[1] = 0, rotationDuration[0] = 1
              320000, RESET = 0, CLK = 1, direction[1] = 0, direction[0] = 1, rotationDuration[1] = 1, rotationDuration[0] = 1
              330000, RESET = 0, CLK = 0, direction[1] = 0, direction[0] = 1, rotationDuration[1] = 1, rotationDuration[0] = 1
              340000, RESET = 0, CLK = 1, direction[1] = 1, direction[0] = 1, rotationDuration[1] = 1, rotationDuration[0] = 0
              350000, RESET = 0, CLK = 0, direction[1] = 1, direction[0] = 1, rotationDuration[1] = 1, rotationDuration[0] = 0
              360000, RESET = 0, CLK = 1, direction[1] = 1, direction[0] = 0, rotationDuration[1] = 1, rotationDuration[0] = 1
              370000, RESET = 0, CLK = 0, direction[1] = 1, direction[0] = 0, rotationDuration[1] = 1, rotationDuration[0] = 1
              380000, RESET = 0, CLK = 1, direction[1] = 1, direction[0] = 1, rotationDuration[1] = 1, rotationDuration[0] = 1
              390000, RESET = 0, CLK = 0, direction[1] = 1, direction[0] = 1, rotationDuration[1] = 1, rotationDuration[0] = 1
              400000, RESET = 0, CLK = 1, direction[1] = 1, direction[0] = 1, rotationDuration[1] = 1, rotationDuration[0] = 1
              410000, RESET = 0, CLK = 0, direction[1] = 1, direction[0] = 1, rotationDuration[1] = 1, rotationDuration[0] = 1
              420000, RESET = 0, CLK = 1, direction[1] = 1, direction[0] = 1, rotationDuration[1] = 1, rotationDuration[0] = 1
              430000, RESET = 0, CLK = 0, direction[1] = 1, direction[0] = 1, rotationDuration[1] = 1, rotationDuration[0] = 1
              440000, RESET = 0, CLK = 1, direction[1] = 1, direction[0] = 1, rotationDuration[1] = 1, rotationDuration[0] = 1
              450000, RESET = 0, CLK = 0, direction[1] = 1, direction[0] = 1, rotationDuration[1] = 1, rotationDuration[0] = 1
              460000, RESET = 0, CLK = 1, direction[1] = 1, direction[0] = 1, rotationDuration[1] = 1, rotationDuration[0] = 1
              470000, RESET = 0, CLK = 0, direction[1] = 1, direction[0] = 1, rotationDuration[1] = 1, rotationDuration[0] = 1
              480000, RESET = 0, CLK = 1, direction[1] = 1, direction[0] = 1, rotationDuration[1] = 1, rotationDuration[0] = 1
              490000, RESET = 0, CLK = 0, direction[1] = 1, direction[0] = 1, rotationDuration[1] = 1, rotationDuration[0] = 1
              500000, RESET = 0, CLK = 1, direction[1] = 1, direction[0] = 1, rotationDuration[1] = 0, rotationDuration[0] = 1
              510000, RESET = 0, CLK = 0, direction[1] = 1, direction[0] = 1, rotationDuration[1] = 0, rotationDuration[0] = 1
              520000, RESET = 0, CLK = 1, direction[1] = 0, direction[0] = 1, rotationDuration[1] = 0, rotationDuration[0] = 1
              530000, RESET = 0, CLK = 0, direction[1] = 0, direction[0] = 1, rotationDuration[1] = 0, rotationDuration[0] = 1
              540000, RESET = 0, CLK = 1, direction[1] = 0, direction[0] = 1, rotationDuration[1] = 1, rotationDuration[0] = 0
              550000, RESET = 0, CLK = 0, direction[1] = 0, direction[0] = 1, rotationDuration[1] = 1, rotationDuration[0] = 0
              560000, RESET = 0, CLK = 1, direction[1] = 1, direction[0] = 0, rotationDuration[1] = 0, rotationDuration[0] = 0
              570000, RESET = 0, CLK = 0, direction[1] = 1, direction[0] = 0, rotationDuration[1] = 0, rotationDuration[0] = 0
              580000, RESET = 0, CLK = 1, direction[1] = 0, direction[0] = 0, rotationDuration[1] = 1, rotationDuration[0] = 1
              590000, RESET = 0, CLK = 0, direction[1] = 0, direction[0] = 0, rotationDuration[1] = 1, rotationDuration[0] = 1
              600000, RESET = 0, CLK = 1, direction[1] = 1, direction[0] = 1, rotationDuration[1] = 0, rotationDuration[0] = 0
              610000, RESET = 0, CLK = 0, direction[1] = 1, direction[0] = 1, rotationDuration[1] = 0, rotationDuration[0] = 0
              620000, RESET = 0, CLK = 1, direction[1] = 0, direction[0] = 0, rotationDuration[1] = 1, rotationDuration[0] = 1
              630000, RESET = 0, CLK = 0, direction[1] = 0, direction[0] = 0, rotationDuration[1] = 1, rotationDuration[0] = 1
              640000, RESET = 0, CLK = 1, direction[1] = 1, direction[0] = 1, rotationDuration[1] = 1, rotationDuration[0] = 0
              650000, RESET = 0, CLK = 0, direction[1] = 1, direction[0] = 1, rotationDuration[1] = 1, rotationDuration[0] = 0
              660000, RESET = 0, CLK = 1, direction[1] = 1, direction[0] = 0, rotationDuration[1] = 0, rotationDuration[0] = 1
              670000, RESET = 0, CLK = 0, direction[1] = 1, direction[0] = 0, rotationDuration[1] = 0, rotationDuration[0] = 1
              680000, RESET = 0, CLK = 1, direction[1] = 0, direction[0] = 1, rotationDuration[1] = 1, rotationDuration[0] = 1
              690000, RESET = 0, CLK = 0, direction[1] = 0, direction[0] = 1, rotationDuration[1] = 1, rotationDuration[0] = 1
              700000, RESET = 0, CLK = 1, direction[1] = 1, direction[0] = 1, rotationDuration[1] = 0, rotationDuration[0] = 0
              710000, RESET = 0, CLK = 0, direction[1] = 1, direction[0] = 1, rotationDuration[1] = 0, rotationDuration[0] = 0
              720000, RESET = 0, CLK = 1, direction[1] = 0, direction[0] = 0, rotationDuration[1] = 0, rotationDuration[0] = 1
              730000, RESET = 0, CLK = 0, direction[1] = 0, direction[0] = 0, rotationDuration[1] = 0, rotationDuration[0] = 1
              740000, RESET = 0, CLK = 1, direction[1] = 0, direction[0] = 1, rotationDuration[1] = 1, rotationDuration[0] = 0
              750000, RESET = 0, CLK = 0, direction[1] = 0, direction[0] = 1, rotationDuration[1] = 1, rotationDuration[0] = 0
              760000, RESET = 0, CLK = 1, direction[1] = 1, direction[0] = 0, rotationDuration[1] = 1, rotationDuration[0] = 0
              770000, RESET = 0, CLK = 0, direction[1] = 1, direction[0] = 0, rotationDuration[1] = 1, rotationDuration[0] = 0
